Loan ID,CIF Number,Credit Score,Job,Annual Income,Purpose,Home Ownership,Loan Amount,Loan Date,Due Date,Loan Term,Monthly Debt,Years of Credit History,Interest Rate,Total Paid,Months since last delinquency
0,9280,776,DevOps,194892000,Real Estate,Rent,664852490,2020-03-29,2024-06-29,51,13036323,3,6.5,306774297,1
1,3644,443,IT Manager,481308000,Real Estate,Other,922136660,2024-04-16,2025-06-16,14,65866904,2,6.5,902385233,4
2,6367,445,DevOps,120876000,Real Estate,Other,175629483,2021-04-16,2025-06-16,50,3512589,9,6.5,126669202,10
3,4064,735,QA-QC,569280000,Automobile,Own,769930845,2023-09-23,2027-05-23,44,17498428,6,7.5,439186068,4
4,859,359,Data Analyst,484668000,Real Estate,Other,852792230,2020-12-19,2025-12-19,60,14213203,2,6.5,395133679,2
5,3973,401,IT Support,275964000,Consumer,Rent,63176902,2023-12-06,2024-08-06,8,7897112,8,6.5,37155654,1
6,7278,351,System Engineer,416460000,Others,Own,886327678,2022-11-11,2024-10-11,23,38535986,3,9,219080106,8
7,6253,794,QA-QC,460620000,Automobile,Own,368585875,2024-05-19,2025-04-19,11,33507806,1,7.5,281513976,2
8,7208,747,Helpdesk,487416000,Others,Other,179401342,2024-03-20,2027-01-20,34,5276510,7,9,50431630,3
9,8558,345,Business Intelligence AnalystData Scientist,120912000,Real Estate,Own,958086051,2022-03-10,2025-05-10,38,25212790,9,6.5,603975545,5
10,3419,325,DevOps,483012000,Others,Mortgage,994829193,2023-09-13,2025-01-13,16,62176824,8,9,95753789,5
11,1857,430,Designer,637644000,Others,Own,616672895,2022-09-22,2024-12-22,27,22839736,9,9,200383973,5
12,1949,703,Data Engineer,839328000,Real Estate,Mortgage,626581394,2022-06-13,2025-05-13,35,17902325,5,6.5,300751649,12
13,3561,313,Project Leader,536832000,Automobile,Own,319613108,2024-04-08,2028-11-08,55,5811147,1,7.5,179983031,21
14,1388,369,Project Leader,722808000,Home,Rent,587590937,2023-11-17,2026-02-17,27,21762627,7,7,345798336,12
15,739,692,Embedded Engineer,385596000,Others,Own,591043025,2021-05-11,2024-07-11,38,15553763,2,9,447109826,13
16,3037,325,Tech Lead,386964000,Automobile,Rent,693423201,2023-10-28,2025-11-28,25,27736928,8,7.5,143278895,11
17,5525,301,Mobile Developer,689292000,Automobile,Rent,958414078,2024-03-12,2024-09-12,6,159735679,5,7.5,686262552,1
18,4287,367,Designer,277716000,Home,Mortgage,163530720,2022-03-05,2027-02-05,59,2771707,7,7,136632781,10
19,5336,680,Database Engineer,802512000,Real Estate,Own,285080391,2021-11-14,2026-11-14,60,4751339,1,6.5,250672814,14
20,2927,528,IT Consultant,59580000,Others,Own,436685930,2023-05-20,2025-08-20,27,16173552,10,9,406161303,4
21,9190,393,Product Manager,861420000,Home,Own,351416339,2022-11-29,2025-01-29,26,13516013,4,7,149606911,6
22,1016,834,IT Manager,471264000,Consumer,Rent,233510357,2023-02-25,2028-02-25,60,3891839,2,6.5,228689390,5
23,8052,586,Cloud Engineer,599868000,Home,Rent,87591646,2021-04-10,2026-04-10,60,1459860,8,7,62594989,13
24,3861,738,ERP ConsultantSolution Architect,519612000,Automobile,Other,342562382,2022-05-09,2024-10-09,29,11812495,9,7.5,255689219,13
25,2029,668,ERP Engineer,703092000,Real Estate,Other,77477615,2024-03-02,2024-09-02,6,12912935,10,6.5,54280857,1
26,1541,475,System Engineer,313380000,Real Estate,Rent,438965334,2023-08-26,2027-10-26,50,8779306,6,6.5,235015286,11
27,8155,791,AI Engineer,287028000,Real Estate,Rent,657737956,2023-10-19,2025-07-19,21,31320855,5,6.5,457761826,5
28,5765,657,Data Analyst,48516000,Others,Own,24202818,2024-03-25,2027-05-25,38,636916,4,9,7919007,1
29,2029,668,ERP Engineer,703092000,Others,Other,203359635,2021-12-13,2024-10-13,34,5981165,3,9,132122415,11
30,2123,654,Database Engineer,871572000,Others,Own,484252227,2023-12-02,2026-04-02,28,17294722,5,9,422861228,8
31,8260,306,IT Consultant,665796000,Others,Rent,188885768,2024-05-17,2026-06-17,25,7555430,3,9,49932509,8
32,3539,846,System Engineer,856860000,Real Estate,Mortgage,873470625,2022-11-02,2025-12-02,37,23607314,4,6.5,90658145,15
33,4496,747,IT Manager,619416000,Others,Mortgage,222595839,2021-09-19,2025-06-19,45,4946574,3,9,213507104,11
34,8201,625,Tester,763488000,Others,Other,647255790,2023-03-01,2024-07-01,16,40453486,4,9,537468299,3
35,3986,589,IT Manager,735696000,Home,Own,554005737,2023-02-11,2028-02-11,60,9233428,3,7,271158708,19
36,8708,634,Tech Lead,170076000,Business,Other,495067432,2020-12-23,2024-12-23,48,10313904,9,8.5,264549456,2
37,2583,345,IT Support,884892000,Consumer,Own,1096960,2023-09-17,2025-10-17,25,43878,4,6.5,314256,7
38,6956,449,System Engineer,729060000,Automobile,Own,264000888,2021-06-20,2025-07-20,49,5387773,2,7.5,139691974,23
39,5363,453,Project Leader,667476000,Others,Mortgage,755841367,2022-06-05,2026-05-05,47,16081731,9,9,101665705,5
40,579,753,Back-end Developer,478224000,Business,Rent,675824799,2022-02-14,2026-12-14,58,11652151,7,8.5,594752551,26
41,7037,518,Business Intelligence AnalystData Scientist,48468000,Real Estate,Other,110046817,2023-01-27,2025-04-27,27,4075808,3,6.5,36114966,5
42,1833,738,AI Engineer,228492000,Consumer,Rent,588140334,2022-03-01,2025-12-01,45,13069785,8,6.5,263810609,7
43,3478,584,Blockchain Engineer,505896000,Automobile,Mortgage,865908214,2023-08-22,2024-11-22,15,57727214,7,7.5,126496663,4
44,1491,750,Cloud Engineer,844728000,Consumer,Other,51394039,2022-12-26,2025-12-26,36,1427612,1,6.5,45088120,13
45,2242,438,Game Developer,594924000,Others,Own,123799198,2023-08-27,2025-03-27,19,6515747,8,9,38278775,7
46,7064,775,QA-QC,614508000,Business,Other,91263847,2020-09-02,2025-05-02,56,1629711,6,8.5,88632854,10
47,5039,592,DevOps,337272000,Home,Other,19305381,2024-03-13,2026-07-13,28,689477,3,7,10515435,5
48,4645,427,Helpdesk,829308000,Automobile,Mortgage,584064978,2023-10-06,2027-11-06,49,11919693,5,7.5,20042894,18
49,3786,671,Blockchain Engineer,171840000,Automobile,Rent,504337029,2023-11-26,2025-03-26,16,31521064,10,7.5,415844143,1
50,8104,819,Front-end Developer,518712000,Consumer,Other,998052666,2020-12-17,2025-08-17,56,17822369,1,6.5,165010341,10
51,6140,420,Game Developer,713472000,Real Estate,Rent,214306640,2023-05-11,2026-11-11,42,5102539,7,6.5,20437165,20
52,3541,378,Tech Lead,192336000,Others,Own,994218752,2022-10-05,2025-02-05,28,35507812,1,9,44554606,2
53,8690,688,IT Manager,272184000,Automobile,Rent,284255589,2023-04-20,2027-07-20,51,5573639,8,7.5,70695140,16
54,3500,568,ERP ConsultantSolution Architect,619008000,Others,Other,525386165,2022-07-15,2025-09-15,38,13825951,10,9,222981109,10
55,5233,579,Back-end Developer,650328000,Business,Rent,445005216,2022-12-08,2026-08-08,44,10113754,6,8.5,217328857,4
56,2677,653,Back-end Developer,734832000,Automobile,Mortgage,964847536,2021-10-06,2025-03-06,41,23532866,9,7.5,718017648,11
57,163,391,System Engineer,37740000,Consumer,Other,661528214,2023-08-17,2028-07-17,59,11212342,10,6.5,391200054,3
58,371,486,Data Analyst,373404000,Home,Other,451364210,2024-04-26,2025-02-26,10,45136421,6,7,384149971,4
59,3813,845,ERP ConsultantSolution Architect,625992000,Consumer,Own,867524467,2024-05-18,2029-03-18,58,14957318,2,6.5,831658593,8
60,9813,803,IT Support,446484000,Business,Own,392497475,2022-03-26,2026-04-26,49,8010152,4,8.5,14070776,7
61,5363,453,Project Leader,667476000,Real Estate,Other,176566224,2022-07-22,2024-12-22,29,6088490,9,6.5,109013922,5
62,5804,687,AI Engineer,735324000,Home,Mortgage,137736379,2022-02-07,2025-04-07,38,3624641,5,7,34843942,5
63,8484,343,QA-QC,802620000,Home,Rent,698323448,2022-10-05,2026-02-05,40,17458086,3,7,490227915,6
64,9065,624,AI Engineer,751356000,Others,Rent,15251508,2023-08-28,2024-07-28,11,1386500,3,9,3105878,4
65,5428,302,Blockchain Engineer,625500000,Automobile,Own,843477591,2021-11-26,2026-01-26,50,16869551,3,7.5,680912821,13
66,2229,506,DevSecOps Engineer,573420000,Automobile,Other,537729425,2024-01-19,2027-06-19,41,13115351,5,7.5,324866485,19
67,8662,703,ERP ConsultantSolution Architect,322920000,Real Estate,Own,742910109,2022-12-27,2025-06-27,30,24763670,6,6.5,364897971,2
68,4587,687,Project Manager,369348000,Automobile,Own,39385232,2023-03-13,2026-07-13,40,984630,1,7.5,22918556,12
69,8221,452,Mobile Developer,825876000,Automobile,Rent,517670645,2022-09-29,2027-06-29,57,9081941,7,7.5,252521994,10
70,8233,639,Tech Lead,710028000,Home,Mortgage,589644699,2024-02-16,2025-05-16,15,39309646,6,7,496903926,2
71,5283,559,Tester,242436000,Automobile,Rent,440905878,2023-12-21,2024-10-21,10,44090587,1,7.5,54419603,4
72,3,829,Project Leader,43740000,Home,Mortgage,122471974,2023-06-29,2024-07-29,13,9420921,10,7,27100446,3
73,2068,442,Blockchain Engineer,222156000,Others,Mortgage,905329927,2022-10-09,2025-05-09,31,29204191,2,9,285603079,2
74,8968,444,Game Developer,801528000,Consumer,Rent,379362066,2023-12-28,2027-04-28,40,9484051,6,6.5,11506653,2
75,9784,590,Database Engineer,242064000,Automobile,Other,137127941,2024-03-27,2024-07-27,4,34281985,6,7.5,112191612,1
76,1162,663,System Admin,664440000,Automobile,Mortgage,692928588,2023-08-11,2024-08-11,12,57744049,3,7.5,617553266,2
77,485,704,Product Owner,46812000,Others,Rent,592443213,2022-11-20,2025-08-20,33,17952824,2,9,502285540,5
78,9145,430,Data Engineer,803220000,Others,Other,459797530,2024-02-12,2025-02-12,12,38316460,4,9,358000404,4
79,4242,521,Game Developer,716976000,Consumer,Mortgage,633860340,2023-06-30,2025-07-30,25,25354413,7,6.5,506658546,5
